iter	Logloss
0	0.6926919714
1	0.6918852092
2	0.6910136604
3	0.6897627267
4	0.6885316283
5	0.6877292216
6	0.6869725918
7	0.6856955131
8	0.6849144438
9	0.6846859726
10	0.6839465547
11	0.68283395
12	0.6814767767
13	0.6803435807
14	0.6796293498
15	0.6791186323
16	0.6782190914
17	0.6773368684
18	0.6762956719
19	0.6755917655
20	0.674818537
21	0.6741667745
22	0.6734359922
23	0.6727447518
24	0.6718159588
25	0.6710027766
26	0.6703826418
27	0.6697495329
28	0.6692356845
29	0.6689977131
30	0.6681283912
31	0.6674924966
32	0.6670128914
33	0.6663710461
34	0.6657173238
35	0.6652054555
36	0.6650661425
37	0.6643018777
38	0.6632224083
39	0.6621886661
40	0.6616109976
41	0.6604672229
42	0.6596154852
43	0.6586528713
44	0.6581187735
45	0.6575667751
46	0.6569115997
47	0.6563411316
48	0.6556755799
49	0.6553456998
50	0.6549725845
51	0.6544354415
52	0.6540865147
53	0.6536616743
54	0.6532462427
55	0.6526758425
56	0.6520935533
57	0.6515335187
58	0.6506268265
59	0.6500965365
60	0.6497174315
61	0.6491939069
62	0.6489371675
63	0.6483936503
64	0.6478632566
65	0.6473559285
66	0.6470136433
67	0.6466081864
68	0.6460298798
69	0.6456173846
70	0.6451683924
71	0.6446813787
72	0.6443167046
73	0.643869333
74	0.6434847625
75	0.6426176011
76	0.6420606277
77	0.6416403297
78	0.6412290991
79	0.6404894525
80	0.6401194002
81	0.6391769319
82	0.6387241243
83	0.6382422281
84	0.637870136
85	0.637283849
86	0.6366694495
87	0.6358847611
88	0.6353077808
89	0.63498907
90	0.63469557
91	0.6341734522
92	0.6337017237
93	0.633213635
94	0.6329693044
95	0.6326523912
96	0.6320861935
97	0.6314252188
98	0.6306339589
99	0.630014664
100	0.6294476172
101	0.6291264117
102	0.6284907642
103	0.628010583
104	0.6278184099
105	0.6272019784
106	0.6267469929
107	0.6265049814
108	0.6257832835
109	0.6252052043
110	0.6247635855
111	0.6242802483
112	0.623830689
113	0.6233641829
114	0.6226246381
115	0.6221563169
116	0.621858097
117	0.6214334847
118	0.6209018488
119	0.6204014042
120	0.619603797
121	0.6192188921
122	0.6189557797
123	0.618693012
124	0.618532417
125	0.6178814412
126	0.6171077868
127	0.6165061865
128	0.6160698769
129	0.6154539313
130	0.6150554041
131	0.6146428223
132	0.6140508766
133	0.6133843446
134	0.6129928474
135	0.6129239246
136	0.6125740324
137	0.6122313886
138	0.6120613386
139	0.6115456139
140	0.6111045885
141	0.610765033
142	0.6104865823
143	0.6100501999
144	0.6097740144
145	0.6095108787
146	0.6093038319
147	0.6088871857
148	0.6084977814
149	0.6081325314
150	0.6080543334
151	0.6077243631
152	0.6074769879
153	0.6071696609
154	0.6068370934
155	0.6067777412
156	0.6067219906
157	0.6061734665
158	0.6060254708
159	0.6054323329
160	0.6047695832
161	0.604432145
162	0.6038803419
163	0.6034312422
164	0.603092979
165	0.6026617282
166	0.602604024
167	0.6024383322
168	0.6022625195
169	0.6019165952
170	0.6017876924
171	0.601725397
172	0.6015649274
173	0.6010101858
174	0.6007768208
175	0.6004793869
176	0.6002356849
177	0.6000745243
178	0.5998191069
179	0.5996061228
180	0.5991071491
181	0.5990581136
182	0.59900546
183	0.5986369997
184	0.5985863558
185	0.5983532524
186	0.598213121
187	0.5979106298
188	0.597639772
189	0.5973996232
190	0.5970439372
191	0.5968725336
192	0.5966272282
193	0.5965758008
194	0.5964211684
195	0.5960692202
196	0.5959656002
197	0.5957538174
198	0.5957049587
199	0.5954970832
200	0.595078047
201	0.5948653839
202	0.5946686147
203	0.5946141359
204	0.5944764467
205	0.5941468905
206	0.5937879695
207	0.5937384952
208	0.5935957952
209	0.5934972686
210	0.5933910296
211	0.5931721797
212	0.5928552938
213	0.5927090076
214	0.5924652723
215	0.5923844648
216	0.5922737425
217	0.5919603284
218	0.5919029871
219	0.5918323925
220	0.5917620493
221	0.5915854987
222	0.5915033402
223	0.5913348822
224	0.5910286175
225	0.5909158375
226	0.590759605
227	0.5906413356
228	0.5903014737
229	0.5899962634
230	0.5897502117
231	0.589656467
232	0.5895294208
233	0.5894239241
234	0.5892181199
235	0.5889425011
236	0.588653221
237	0.5885597289
238	0.5883068616
239	0.588234902
240	0.5881948783
241	0.5878451526
242	0.5878007157
243	0.5877295455
244	0.5874783404
245	0.5874367184
246	0.5871769085
247	0.5870532965
248	0.586917622
249	0.5867192045
250	0.5866786578
251	0.5866387322
252	0.5865124861
253	0.5864114615
254	0.5862710793
255	0.5862307071
256	0.586069418
257	0.5858742075
258	0.5858082211
259	0.5856822799
260	0.58545917
261	0.5853879188
262	0.5853245859
263	0.5852565291
264	0.5851724608
265	0.5850176394
266	0.5848585698
267	0.5848203368
268	0.584765778
269	0.5846569265
270	0.58461619
271	0.5844546602
272	0.5844135643
273	0.5841844124
274	0.5840372466
275	0.583996177
276	0.5838543904
277	0.5838206201
278	0.5837068911
279	0.5834826763
280	0.5834360668
281	0.583239385
282	0.5830972239
283	0.583063389
284	0.5830280634
285	0.5829892151
286	0.5828976273
287	0.5827199113
288	0.5825807084
289	0.582459682
290	0.5824134011
291	0.5823029966
292	0.582166892
293	0.5820475434
294	0.5819283427
295	0.5817435501
296	0.5817024773
297	0.581547257
298	0.5814200672
299	0.5813786681
300	0.5813072691
301	0.5812391388
302	0.5811585953
303	0.5810540437
304	0.5810173363
305	0.58095073
306	0.5809110191
307	0.580815962
308	0.5807015423
309	0.5806671115
310	0.5805648809
311	0.5804822968
312	0.5803723478
313	0.5803021416
314	0.5802341756
315	0.5801132046
316	0.5800484816
317	0.5800124226
318	0.5799744673
319	0.5798983734
320	0.5797591286
321	0.5796678611
322	0.5796305307
323	0.5795880809
324	0.5794922155
325	0.5793835268
326	0.5792943277
327	0.5792605037
328	0.579074743
329	0.578954292
330	0.5788310018
331	0.5787925402
332	0.578706736
333	0.5786740221
334	0.5786264276
335	0.5785596279
336	0.5784753566
337	0.5784379733
338	0.5783879744
339	0.5782858914
340	0.5781511896
341	0.5781181305
342	0.578081405
343	0.5780422403
344	0.5779233113
345	0.5777863874
346	0.5777160277
347	0.5776326915
348	0.5775258318
349	0.5774867284
350	0.5774283256
351	0.5773336036
352	0.577252734
353	0.5772068061
354	0.5771721776
355	0.5771356866
356	0.5771010304
357	0.5770657505
358	0.5770360652
359	0.5770037986
360	0.5769452399
361	0.5769057097
362	0.5767804257
363	0.5767390509
364	0.5765853619
365	0.576545325
366	0.576448309
367	0.576394713
368	0.5763612422
369	0.5762659755
370	0.5762099147
371	0.5761759592
372	0.5761356539
373	0.5760311327
374	0.5759585867
375	0.5759210821
376	0.5758819422
377	0.5758464621
378	0.5757766306
379	0.5757218259
380	0.5756844884
381	0.5756377617
382	0.5754734128
383	0.5752956908
384	0.575231106
385	0.5751122097
386	0.5750755231
387	0.5750255751
388	0.5749325892
389	0.5748364316
390	0.574805669
391	0.5747429547
392	0.574704451
393	0.5746698401
394	0.5746347269
395	0.5745963243
396	0.5745307558
397	0.5744931123
398	0.5744508659
399	0.5743877778
400	0.574359485
401	0.5742984015
402	0.5742651842
403	0.5742344423
404	0.5742051302
405	0.5741005199
406	0.5740207221
407	0.5739899454
408	0.573950732
409	0.5738976802
410	0.5738640074
411	0.5738269216
412	0.5737594049
413	0.5737252934
414	0.5736746494
415	0.57364378
416	0.5735795541
417	0.5735109107
418	0.5734504731
419	0.573344488
420	0.5733065115
421	0.5732757031
422	0.5732383951
423	0.5731787243
424	0.5731362578
425	0.5730360718
426	0.5729769386
427	0.5729418746
428	0.5729076187
429	0.5728720374
430	0.5728369882
431	0.5728027684
432	0.5727194106
433	0.5726901608
434	0.5725636102
435	0.5724805785
436	0.5724209804
437	0.5723927026
438	0.5722410802
439	0.5722066404
440	0.5721697
441	0.5720968806
442	0.5720146129
443	0.5719738347
444	0.571887627
445	0.5718507588
446	0.571787121
447	0.5717501228
448	0.5716482196
449	0.5715656847
450	0.5715361223
451	0.5715005805
452	0.57146939
453	0.5714359838
454	0.5713819793
455	0.5713497101
456	0.5712551746
457	0.5712213943
458	0.5711902184
459	0.5711152394
460	0.5710686856
461	0.5709938249
462	0.5709156073
463	0.5708794765
464	0.570842221
465	0.5707954434
466	0.5707655657
467	0.5707307426
468	0.5706458756
469	0.5705717728
470	0.5705385271
471	0.5705011917
472	0.5704286367
473	0.5703956623
474	0.5703245807
475	0.570291444
476	0.5702520197
477	0.5701869816
478	0.5701533706
479	0.5701214991
480	0.5700406717
481	0.5700022933
482	0.5699736486
483	0.5699434983
484	0.5698845754
485	0.5698278664
486	0.5697948836
487	0.5697166613
488	0.5696864075
489	0.5696527433
490	0.569620075
491	0.5695892743
492	0.569552058
493	0.5695170734
494	0.5694515792
495	0.5693671221
496	0.5693297041
497	0.5692737603
498	0.5692351924
499	0.5691323646
500	0.5690840081
501	0.5690301563
502	0.5689747899
503	0.5689421392
504	0.5689093515
505	0.5688448833
506	0.5688104658
507	0.5687802324
508	0.5687475022
509	0.5686756285
510	0.5686387655
511	0.568606948
512	0.5685750392
513	0.5685465084
514	0.5685142051
515	0.5684678259
516	0.5684118024
517	0.5683812446
518	0.5683499857
519	0.5683166709
520	0.5682841476
521	0.5682188828
522	0.5681754638
523	0.568145921
524	0.5681002011
525	0.5680547738
526	0.5680244361
527	0.5679827244
528	0.5679133488
529	0.567886762
530	0.567852485
531	0.5678182443
532	0.5677893666
533	0.5677254468
534	0.567693669
535	0.5676573618
536	0.5676312523
537	0.567600274
538	0.5675660063
539	0.5675280111
540	0.5674942954
541	0.5674151802
542	0.5673825831
543	0.5673518503
544	0.5672938068
545	0.5672211547
546	0.5671685559
547	0.5671182108
548	0.5670617487
549	0.567025557
550	0.5669944
551	0.5669552916
552	0.5669236753
553	0.5668903181
554	0.5668580866
555	0.5668175887
556	0.5667831953
557	0.5667367841
558	0.5667036797
559	0.5666561211
560	0.5666197205
561	0.5665598636
562	0.5665277293
563	0.56649479
564	0.5664647773
565	0.566435549
566	0.5663981984
567	0.5663655619
568	0.5663303235
569	0.5662789368
570	0.5662250774
571	0.566173138
572	0.5661177789
573	0.5660815327
574	0.5660483966
575	0.566015645
576	0.5659860863
577	0.56594105
578	0.5659042427
579	0.5658476185
580	0.5658156444
581	0.5657862108
582	0.5657559277
583	0.56572493
584	0.5656889898
585	0.5656580582
586	0.5655816956
587	0.5655498393
588	0.5655180488
589	0.5654752837
590	0.565410162
591	0.5653768463
592	0.5653462802
593	0.5652631627
594	0.5652068011
595	0.5651490857
596	0.5651193381
597	0.5650886597
598	0.5650067459
599	0.5649657245
600	0.5649200208
601	0.5648696013
602	0.5648386925
603	0.5647708651
604	0.5647369316
605	0.5646998095
606	0.5646629257
607	0.5646080399
608	0.5645665916
609	0.5644977617
610	0.5644592696
611	0.564425087
612	0.5643839409
613	0.5643540298
614	0.5643211618
615	0.5642773372
616	0.5642106609
617	0.5641819562
618	0.564146837
619	0.5641052974
620	0.5640705179
621	0.5640331821
622	0.5640035997
623	0.5639615552
624	0.5639293785
625	0.5639019113
626	0.5638680686
627	0.5638221071
628	0.5637907569
629	0.5637564471
630	0.5637220802
631	0.5636936204
632	0.5636620799
633	0.5636056304
634	0.563571537
635	0.563540414
636	0.5635116351
637	0.5634766516
638	0.5634464276
639	0.5633840173
640	0.5633483594
641	0.5633152281
642	0.5632799638
643	0.56324858
644	0.5632124564
645	0.5631606021
646	0.5631242187
647	0.5630676265
648	0.5630362157
649	0.5630047724
650	0.5629726884
651	0.5629378041
652	0.5629071609
653	0.5628646425
654	0.5628291886
655	0.5627945865
656	0.5627516086
657	0.562722564
658	0.5626901506
659	0.5626568083
660	0.5626137585
661	0.5625791493
662	0.5625419909
663	0.5624881066
664	0.5624588578
665	0.5624258112
666	0.5623949522
667	0.5623636412
668	0.5623283254
669	0.5622920577
670	0.5622303765
671	0.5621964378
672	0.5621611476
673	0.5621237768
674	0.5620878428
675	0.5620499901
676	0.5620196264
677	0.5619608392
678	0.5619259124
679	0.5618920119
680	0.5618615683
681	0.5618268524
682	0.5617957242
683	0.5617667055
684	0.561740963
685	0.5617052158
686	0.5616707714
687	0.5616380177
688	0.5616056253
689	0.5615644875
690	0.5615268375
691	0.5614857252
692	0.5614562826
693	0.56142677
694	0.5613951157
695	0.5613630834
696	0.5613288615
697	0.5612992006
698	0.5612646336
699	0.5612064943
700	0.5611502839
701	0.5611210733
702	0.5610904764
703	0.5610532207
704	0.5610134952
705	0.5609824543
706	0.5609491307
707	0.5609219456
708	0.5608708369
709	0.5608382917
710	0.560809854
711	0.5607764685
712	0.5607478117
713	0.5607165983
714	0.5606824158
715	0.5606197856
716	0.5605885764
717	0.5605344861
718	0.5605062884
719	0.5604712101
720	0.5604440984
721	0.5604097486
722	0.5603747851
723	0.5603450013
724	0.5603137407
725	0.5602717159
726	0.5602225881
727	0.5601841388
728	0.5601524422
729	0.5601191964
730	0.5600915608
731	0.5600615713
732	0.5600312002
733	0.5600007818
734	0.5599728455
735	0.5599391276
736	0.5599080029
737	0.5598737004
738	0.5598417686
739	0.5598108258
740	0.5597724445
741	0.559736273
742	0.5597027183
743	0.5596714207
744	0.5596397035
745	0.5596069165
746	0.5595746087
747	0.5595419089
748	0.5595089816
749	0.5594749189
750	0.5594434781
751	0.5594092233
752	0.5593826856
753	0.5593548697
754	0.5593263685
755	0.5592980144
756	0.5592690075
757	0.5592346042
758	0.5592039499
759	0.5591333973
760	0.5591088458
761	0.5590757537
762	0.5590412051
763	0.5590089564
764	0.5589782948
765	0.5589469082
766	0.5589151943
767	0.5588832698
768	0.5588508926
769	0.5588226504
770	0.5587790368
