iter	Accuracy	Logloss
98	0.7243759347	0.5287090833
99	0.7243759347	0.5284091709
100	0.7243759347	0.5280107624
101	0.7243759347	0.5278208567
102	0.7243759347	0.5274670151
103	0.7243759347	0.5273073254
104	0.7246060048	0.5270287912
105	0.7246060048	0.5269153192
106	0.7246060048	0.5266542849
107	0.7246060048	0.5265427948
108	0.7246060048	0.5261057307
109	0.7246060048	0.5260232314
110	0.7246060048	0.5257180219
111	0.7246060048	0.5255712188
112	0.7246060048	0.5254693686
113	0.7246060048	0.5253260381
114	0.7246060048	0.525286656
115	0.7246060048	0.5251716902
116	0.7246060048	0.5250552348
117	0.7278269872	0.5249677478
118	0.7279420223	0.5249035837
119	0.7278269872	0.5247788689
120	0.7278269872	0.5246311713
121	0.7278269872	0.5245287694
122	0.7278269872	0.5243506113
123	0.7278269872	0.5242564652
124	0.7278269872	0.5240293739
125	0.7278269872	0.523858164
126	0.7278269872	0.5237896138
127	0.7278269872	0.5236643028
128	0.7278269872	0.523596362
129	0.7278269872	0.5234883098
130	0.7278269872	0.5234395036
131	0.7278269872	0.5234118595
132	0.7278269872	0.5233102817
133	0.7278269872	0.5230824809
134	0.7278269872	0.5230440907
135	0.7278269872	0.5230296717
136	0.7279420223	0.5229474606
137	0.7280570574	0.5228029459
138	0.7281720925	0.5226985359
139	0.7281720925	0.5226801048
140	0.7281720925	0.5226511542
141	0.7281720925	0.5225971969
142	0.7280570574	0.5225536373
143	0.7280570574	0.5225297397
144	0.7281720925	0.5224334411
145	0.7281720925	0.5224104972
146	0.7281720925	0.5223303002
147	0.7282871276	0.5222840863
148	0.7284021627	0.5221073733
149	0.7282871276	0.5220729242
150	0.7282871276	0.5220305183
151	0.7282871276	0.5219938531
152	0.7281720925	0.5219496745
153	0.7282871276	0.5218526522
154	0.7282871276	0.5218429003
155	0.7290923732	0.5216604915
156	0.7290923732	0.5216403882
157	0.7290923732	0.521570468
158	0.7290923732	0.5215585645
159	0.7290923732	0.5215354869
160	0.7290923732	0.5215201773
161	0.7290923732	0.5214674144
162	0.7290923732	0.5214370843
163	0.7290923732	0.5213869424
164	0.7290923732	0.5213705261
165	0.7290923732	0.5213558787
166	0.7290923732	0.5213102291
167	0.7290923732	0.5212658836
168	0.7305878293	0.5210772477
169	0.7305878293	0.5209714127
170	0.7304727942	0.520929594
171	0.7304727942	0.5209155906
172	0.7305878293	0.5209058109
173	0.7305878293	0.5208968177
174	0.7305878293	0.5208858864
175	0.7305878293	0.520874705
176	0.7305878293	0.5208538964
177	0.7305878293	0.5208008603
178	0.7305878293	0.5205460164
179	0.7307028644	0.5204605139
180	0.7305878293	0.5204418852
181	0.7307028644	0.5203565892
182	0.7307028644	0.5203458098
183	0.7307028644	0.520287667
184	0.7307028644	0.5202759386
185	0.7307028644	0.5202530932
186	0.7307028644	0.5201966645
187	0.7308178995	0.5201440712
188	0.7307028644	0.5200755125
189	0.7308178995	0.5200623125
190	0.7305878293	0.5200061123
191	0.7307028644	0.5199912608
192	0.7307028644	0.5199752895
193	0.7307028644	0.5199680922
194	0.7307028644	0.5199572546
195	0.7307028644	0.5199411042
196	0.7307028644	0.5199304864
197	0.7307028644	0.5199171964
198	0.7307028644	0.5198881392
199	0.7307028644	0.5198713156
200	0.7307028644	0.5198608338
201	0.7305878293	0.5198441495
202	0.7321983205	0.519767552
203	0.7321983205	0.5197091698
204	0.7321983205	0.5196425069
205	0.7321983205	0.5196330782
206	0.7321983205	0.5196147569
207	0.7321983205	0.5196001622
208	0.7321983205	0.5195823446
209	0.7321983205	0.5195428638
210	0.7321983205	0.5195301835
211	0.7321983205	0.5195221571
212	0.7321983205	0.5195117191
213	0.7321983205	0.5195004146
214	0.7321983205	0.5194865961
215	0.7321983205	0.5194334499
216	0.7321983205	0.5194152591
217	0.7321983205	0.5194059403
218	0.7321983205	0.519395046
219	0.7321983205	0.5193435925
220	0.7321983205	0.5193352248
221	0.7323133556	0.5192663333
222	0.7323133556	0.5192568315
223	0.7323133556	0.5192454701
224	0.7323133556	0.5192357478
225	0.7323133556	0.5192196617
226	0.7323133556	0.5192072275
227	0.7323133556	0.5191951669
228	0.7323133556	0.5191826342
229	0.7323133556	0.5191711839
230	0.7323133556	0.5191623798
231	0.7324283907	0.5191509816
232	0.7324283907	0.5191369298
233	0.7324283907	0.5191197687
234	0.7324283907	0.5191129939
235	0.7324283907	0.5190340533
236	0.7324283907	0.5190242749
237	0.7324283907	0.5190104202
238	0.7324283907	0.5190005085
239	0.7324283907	0.5189908605
240	0.7324283907	0.518978418
241	0.7324283907	0.5189666752
242	0.7324283907	0.5189565822
243	0.7324283907	0.5189426397
244	0.7324283907	0.5189310185
245	0.7324283907	0.5189192375
246	0.7324283907	0.5189082418
247	0.7324283907	0.5188977899
248	0.7324283907	0.5188871704
249	0.7324283907	0.518835985
250	0.7324283907	0.5188274577
251	0.7324283907	0.5188174474
252	0.7324283907	0.5187554628
253	0.7324283907	0.5187476781
254	0.7324283907	0.5187244753
255	0.7324283907	0.5187119385
256	0.7324283907	0.5187029587
257	0.7324283907	0.5186947309
258	0.7324283907	0.518686039
259	0.7324283907	0.518677922
260	0.7324283907	0.5186664147
261	0.7324283907	0.5186383496
262	0.7324283907	0.5186294713
263	0.7324283907	0.518616245
264	0.7324283907	0.5186081405
265	0.7324283907	0.518592843
266	0.7324283907	0.518583415
267	0.7324283907	0.5185724869
268	0.7324283907	0.5185607459
269	0.7324283907	0.5185502505
270	0.7324283907	0.5185369983
271	0.7324283907	0.5185252821
272	0.7324283907	0.5185134801
273	0.7324283907	0.518494662
274	0.7324283907	0.5184354378
275	0.7324283907	0.5184244678
276	0.7324283907	0.5184140336
277	0.7324283907	0.5184052864
278	0.7324283907	0.5182822962
279	0.7324283907	0.5182674781
280	0.7324283907	0.5182568047
281	0.7324283907	0.5182486985
282	0.7324283907	0.5182387086
283	0.7324283907	0.5182279234
284	0.7324283907	0.5182192475
285	0.7324283907	0.5182067328
286	0.7324283907	0.5181975721
287	0.7324283907	0.5181754612
288	0.7324283907	0.5181090829
289	0.7324283907	0.5180530019
290	0.7324283907	0.5180437365
291	0.7324283907	0.5180341053
292	0.7324283907	0.5180206063
293	0.7324283907	0.5179609887
294	0.7324283907	0.5179491257
295	0.7324283907	0.5179380567
296	0.7324283907	0.5178722131
297	0.7324283907	0.5178601283
298	0.7324283907	0.5178477564
299	0.7324283907	0.5178366818
300	0.7324283907	0.5178216797
301	0.7324283907	0.5178110653
302	0.7324283907	0.5177984501
303	0.7324283907	0.5177905877
304	0.7324283907	0.5177835994
305	0.7324283907	0.5177753397
306	0.7324283907	0.5177639074
307	0.7324283907	0.5177513326
308	0.7324283907	0.5177373593
309	0.7324283907	0.5177191933
310	0.7324283907	0.5176933568
311	0.7324283907	0.5176835686
312	0.7324283907	0.517674576
313	0.7324283907	0.5176675473
314	0.7324283907	0.5176670173
315	0.7324283907	0.5176557985
316	0.7324283907	0.5176474257
317	0.7324283907	0.5176370895
318	0.7324283907	0.5176282019
319	0.7324283907	0.5174913236
320	0.7324283907	0.5174756253
321	0.7324283907	0.5174615981
322	0.7324283907	0.5174489409
323	0.7324283907	0.5174381146
324	0.7324283907	0.5174310548
325	0.7324283907	0.5174205644
326	0.7324283907	0.5174087074
327	0.7324283907	0.5173936203
328	0.7324283907	0.5173854639
329	0.7324283907	0.5173715309
330	0.7324283907	0.5173599791
331	0.7324283907	0.5173466049
332	0.7324283907	0.5173356141
333	0.7324283907	0.517321655
334	0.7324283907	0.517308625
335	0.7324283907	0.5173012805
336	0.7324283907	0.5172928364
337	0.7324283907	0.5172813432
338	0.7324283907	0.5172728743
339	0.7324283907	0.5172593197
340	0.7324283907	0.5172335797
341	0.7324283907	0.517221652
342	0.7324283907	0.5172117503
343	0.7324283907	0.5172005719
344	0.7324283907	0.5171913022
345	0.7324283907	0.5171855472
346	0.7324283907	0.5171437097
347	0.7324283907	0.5171327213
348	0.7324283907	0.5171223869
349	0.7324283907	0.5171100598
350	0.7324283907	0.5171012876
351	0.7324283907	0.5170903285
352	0.7324283907	0.5170691111
353	0.7324283907	0.517055531
354	0.7324283907	0.5170444819
355	0.7324283907	0.5170350719
356	0.7324283907	0.5170209607
357	0.7324283907	0.5170094568
358	0.7324283907	0.5169998334
359	0.7324283907	0.5169894154
360	0.7324283907	0.5169763481
361	0.7324283907	0.5169683356
362	0.7324283907	0.5169462589
363	0.7324283907	0.5169330007
364	0.7324283907	0.5169241579
365	0.7325434257	0.5169089753
366	0.7325434257	0.5168967795
367	0.7325434257	0.5168852119
368	0.7325434257	0.5168709589
369	0.7325434257	0.5168495266
370	0.7325434257	0.5168392527
371	0.7325434257	0.5168243595
372	0.7325434257	0.5168158113
373	0.7325434257	0.5168067319
374	0.7325434257	0.5167953317
375	0.7325434257	0.5167820718
376	0.7325434257	0.5167714048
377	0.7325434257	0.5167562282
378	0.7325434257	0.5167469394
379	0.7325434257	0.5167347601
380	0.7325434257	0.5167106539
381	0.7325434257	0.5166980591
382	0.7325434257	0.5166892067
383	0.7325434257	0.51667467
384	0.7325434257	0.5166632958
385	0.7325434257	0.5166523486
386	0.7325434257	0.5166430056
387	0.7325434257	0.5166339721
388	0.7325434257	0.5166223254
389	0.7325434257	0.5166137223
390	0.7325434257	0.516597982
391	0.7325434257	0.5165833856
392	0.7325434257	0.5165502082
393	0.7325434257	0.5165389559
394	0.7325434257	0.5164103332
395	0.7325434257	0.5164004673
396	0.7325434257	0.5163887331
397	0.7325434257	0.5163764682
398	0.7325434257	0.5163653531
399	0.7325434257	0.5163545312
400	0.7325434257	0.5163446347
401	0.7325434257	0.5163291394
402	0.7325434257	0.516315586
403	0.7325434257	0.5163012667
404	0.7325434257	0.5162883266
405	0.7325434257	0.5162801552
406	0.7325434257	0.5162675068
407	0.7325434257	0.5162553314
408	0.7325434257	0.5162409908
409	0.7325434257	0.5162285359
410	0.7325434257	0.5162192946
411	0.7325434257	0.5162078347
412	0.7325434257	0.5161927406
413	0.7325434257	0.5161832272
414	0.7325434257	0.5161726284
415	0.7325434257	0.5161633761
416	0.7325434257	0.516153902
417	0.7325434257	0.5161447568
418	0.7325434257	0.5161339919
419	0.7325434257	0.5160965376
420	0.7325434257	0.5160844793
421	0.7325434257	0.5160717958
422	0.7325434257	0.5160625775
423	0.7325434257	0.5160507772
424	0.7325434257	0.5160359901
425	0.7325434257	0.5160185684
426	0.7325434257	0.5159785411
427	0.7325434257	0.5159672184
428	0.7325434257	0.5159530309
429	0.7325434257	0.5159403241
430	0.7325434257	0.515927422
431	0.7325434257	0.5159167798
432	0.7325434257	0.5159017685
433	0.7325434257	0.5158900132
434	0.7325434257	0.5158819
435	0.7325434257	0.5158709567
436	0.7325434257	0.5158558549
437	0.7325434257	0.5158424752
438	0.7325434257	0.5158320824
439	0.7326584608	0.5158215196
440	0.7326584608	0.5158065658
441	0.7326584608	0.5157798741
442	0.7326584608	0.5157677014
443	0.7326584608	0.5157556833
444	0.7326584608	0.5157432415
445	0.7326584608	0.5157309258
446	0.7326584608	0.5157175163
447	0.7326584608	0.5157047165
448	0.7326584608	0.5156957556
449	0.7326584608	0.5156846577
450	0.7326584608	0.5156745944
451	0.7326584608	0.5156628787
452	0.7326584608	0.5156537877
453	0.7326584608	0.5156417698
454	0.7326584608	0.5156275575
455	0.7326584608	0.5156168393
456	0.7326584608	0.5156079071
457	0.7326584608	0.5155969332
458	0.7326584608	0.5155863923
459	0.7326584608	0.5155704944
460	0.7326584608	0.5155189244
461	0.7326584608	0.5155061115
462	0.7326584608	0.5154938574
463	0.7326584608	0.5154809962
464	0.7326584608	0.5154708602
465	0.7326584608	0.5154595999
466	0.7326584608	0.5154458554
467	0.7326584608	0.5153817038
468	0.7326584608	0.5153587322
469	0.7326584608	0.5153474572
470	0.7326584608	0.5153352039
471	0.7326584608	0.5152813024
472	0.7326584608	0.5152673894
473	0.7326584608	0.5152550068
474	0.7326584608	0.5152419346
475	0.7326584608	0.5152278094
476	0.7326584608	0.5152163026
477	0.7326584608	0.515196316
478	0.7326584608	0.5151785384
479	0.7326584608	0.5151666169
480	0.7326584608	0.5151515802
481	0.7326584608	0.5151384303
482	0.7326584608	0.5151270334
483	0.7326584608	0.5151156837
484	0.7326584608	0.5151029269
485	0.7326584608	0.515085909
486	0.7326584608	0.5150727576
487	0.7326584608	0.5150637504
488	0.7326584608	0.5150473366
489	0.7326584608	0.5150341302
490	0.7326584608	0.5150176298
491	0.7326584608	0.5150003653
492	0.7326584608	0.5149905043
493	0.7326584608	0.5149741914
494	0.7326584608	0.5149612612
495	0.7326584608	0.5149491144
496	0.7326584608	0.514934324
497	0.7326584608	0.5149173931
498	0.7326584608	0.5149060916
499	0.7326584608	0.5148932925
500	0.7326584608	0.5148816506
501	0.7326584608	0.5148686143
502	0.7326584608	0.5148471463
503	0.7326584608	0.5147375064
504	0.7326584608	0.5147237731
505	0.7326584608	0.5147090093
506	0.7326584608	0.5146966244
507	0.7326584608	0.514679511
508	0.7326584608	0.5146669913
509	0.7326584608	0.5146482916
510	0.7326584608	0.5146334125
511	0.7326584608	0.514619076
512	0.7326584608	0.5146019025
513	0.7326584608	0.5145867606
514	0.7326584608	0.5145727977
515	0.7326584608	0.5145598993
516	0.7326584608	0.5145464937
517	0.7326584608	0.5145330425
518	0.7326584608	0.5145176352
519	0.7326584608	0.5145014653
520	0.7326584608	0.5144850064
521	0.7326584608	0.5144637895
522	0.7326584608	0.5144427291
523	0.7326584608	0.5144277546
524	0.7326584608	0.5144093247
525	0.7326584608	0.514398977
526	0.7326584608	0.5143842619
527	0.7326584608	0.5143702534
528	0.7326584608	0.514351543
529	0.7326584608	0.514335561
530	0.7326584608	0.5143209764
531	0.7326584608	0.5142993847
532	0.7326584608	0.5142835703
533	0.7326584608	0.5142678343
534	0.7326584608	0.5142473336
535	0.7326584608	0.5142298747
536	0.7326584608	0.5142121901
537	0.7326584608	0.5141970373
538	0.7326584608	0.5141805031
539	0.7326584608	0.5141626886
540	0.7326584608	0.5141489452
541	0.7326584608	0.5141312667
542	0.7326584608	0.5141120716
543	0.7326584608	0.5140907229
544	0.7326584608	0.5140665674
545	0.7326584608	0.5140443227
546	0.7326584608	0.5140273775
547	0.7326584608	0.5140103002
548	0.7326584608	0.5139930008
549	0.7326584608	0.5139730088
550	0.7326584608	0.513953639
551	0.7326584608	0.5139377182
552	0.7326584608	0.5139197111
553	0.7326584608	0.5139000135
554	0.7326584608	0.5138801452
555	0.7326584608	0.5138625241
556	0.7326584608	0.5138418521
557	0.7326584608	0.513819942
558	0.7326584608	0.5138004632
559	0.7326584608	0.5137831196
560	0.7326584608	0.5137660426
561	0.7326584608	0.5137481425
562	0.7326584608	0.5137330371
563	0.7326584608	0.5137137627
564	0.7326584608	0.5136979778
565	0.7326584608	0.5136790095
566	0.7326584608	0.5136594956
567	0.7326584608	0.513643306
568	0.7326584608	0.5136198561
569	0.7326584608	0.5135985965
570	0.7326584608	0.5135798656
571	0.7326584608	0.5135599751
572	0.7326584608	0.513544183
573	0.7326584608	0.5135246866
574	0.7326584608	0.5135076623
575	0.7326584608	0.5134905069
576	0.7326584608	0.5134697666
577	0.7326584608	0.5134521846
578	0.7326584608	0.5134330656
579	0.7326584608	0.513414924
580	0.7326584608	0.5133968431
581	0.7326584608	0.5133773328
582	0.7326584608	0.513355542
583	0.7326584608	0.5133363258
584	0.7326584608	0.5133172888
585	0.7326584608	0.513294542
586	0.7326584608	0.5132751218
587	0.7326584608	0.5132562221
588	0.7326584608	0.5132317538
589	0.7326584608	0.5132075987
590	0.7326584608	0.5131830889
591	0.7326584608	0.5131610905
592	0.7326584608	0.5131405395
593	0.7326584608	0.5131203757
594	0.7326584608	0.5131006737
595	0.7326584608	0.5130798098
596	0.7326584608	0.5130599942
597	0.7326584608	0.5130364057
598	0.7326584608	0.513015378
599	0.7326584608	0.5129911234
600	0.7326584608	0.5129678881
601	0.7326584608	0.5129461149
602	0.7326584608	0.5129251628
603	0.7326584608	0.5129029611
604	0.7326584608	0.5128814759
605	0.7326584608	0.5128588725
606	0.7326584608	0.5128330435
607	0.7326584608	0.5128108702
608	0.7326584608	0.5127885551
609	0.7326584608	0.5127685306
610	0.7326584608	0.5127478382
611	0.7326584608	0.5127264529
612	0.7326584608	0.5127035714
613	0.7326584608	0.5126845883
614	0.7326584608	0.5126620197
615	0.7326584608	0.5126431279
616	0.7326584608	0.512621368
617	0.7326584608	0.5125994675
618	0.7326584608	0.5125767335
619	0.7326584608	0.5125556789
620	0.7326584608	0.5125337433
621	0.7326584608	0.5125117279
622	0.7326584608	0.5124917119
623	0.7326584608	0.5124707356
624	0.7326584608	0.5124477262
625	0.7326584608	0.5124266327
626	0.7326584608	0.5124049992
627	0.7326584608	0.5123833079
628	0.7326584608	0.5123620765
629	0.7326584608	0.512338156
630	0.7326584608	0.5123176815
631	0.7326584608	0.5122966911
632	0.7326584608	0.5122756978
633	0.7326584608	0.5122526314
634	0.7326584608	0.5122298701
635	0.7326584608	0.5122074285
636	0.7326584608	0.5121852913
637	0.7326584608	0.5121633361
638	0.7326584608	0.5121415672
639	0.7326584608	0.5121185302
640	0.7326584608	0.5120970788
641	0.7326584608	0.5120760884
642	0.7326584608	0.5120543695
643	0.7326584608	0.5120328852
644	0.7326584608	0.5120118802
645	0.7326584608	0.5119894712
646	0.7326584608	0.5119688315
647	0.7326584608	0.5119484046
648	0.7326584608	0.5119276764
649	0.7326584608	0.511906764
650	0.7326584608	0.5118852192
651	0.7326584608	0.5118657134
652	0.7326584608	0.5118447639
653	0.7326584608	0.5118244061
654	0.7326584608	0.51180524
655	0.7326584608	0.5117850311
656	0.7326584608	0.5117634571
657	0.7326584608	0.5117424472
658	0.7326584608	0.5117221891
659	0.7326584608	0.5117020411
660	0.7332336363	0.5116817092
661	0.7332336363	0.5116613064
662	0.7332336363	0.5116408183
663	0.7332336363	0.5116200871
664	0.7332336363	0.5116009314
665	0.7332336363	0.5115804425
666	0.7332336363	0.5115613616
667	0.7332336363	0.5115413629
668	0.7332336363	0.511522098
669	0.7332336363	0.5115020207
670	0.7332336363	0.5114824634
671	0.7332336363	0.5114626359
672	0.7332336363	0.5114436051
673	0.7332336363	0.5114251268
674	0.7332336363	0.5114056316
675	0.7332336363	0.5113860121
676	0.7332336363	0.5113668895
677	0.7332336363	0.5113481373
678	0.7332336363	0.5113293058
679	0.7332336363	0.5113110992
680	0.7332336363	0.5112930085
681	0.7332336363	0.5112739667
682	0.7332336363	0.5112556273
683	0.7332336363	0.5112369514
684	0.7332336363	0.5112180239
685	0.7332336363	0.5111997569
686	0.7332336363	0.5111810644
687	0.7332336363	0.5111628325
688	0.7332336363	0.5111442547
689	0.7332336363	0.5111263317
690	0.7332336363	0.5111081705
691	0.7332336363	0.5110891836
692	0.7332336363	0.5110714131
693	0.7332336363	0.5110535393
694	0.7332336363	0.5110356148
695	0.7332336363	0.5110175303
696	0.7332336363	0.5109994716
697	0.7332336363	0.5109823549
698	0.7332336363	0.5109643624
699	0.7332336363	0.510945469
700	0.7332336363	0.5109278171
701	0.7332336363	0.5109102355
702	0.7332336363	0.5108931439
703	0.7332336363	0.5108758395
704	0.7332336363	0.5108588295
705	0.7332336363	0.510841212
706	0.7332336363	0.5108243811
707	0.7332336363	0.5108070555
708	0.7332336363	0.5107884024
709	0.7332336363	0.5107714315
710	0.7332336363	0.5107542171
711	0.7332336363	0.5107370067
712	0.7332336363	0.5107200457
713	0.7332336363	0.5107032357
714	0.7332336363	0.5106861387
715	0.7332336363	0.5106691788
716	0.7332336363	0.5106523974
717	0.7332336363	0.5106356435
718	0.7332336363	0.5106189984
719	0.7332336363	0.5106021055
720	0.7332336363	0.5105855834
721	0.7332336363	0.5105687311
722	0.7332336363	0.5105523761
723	0.7332336363	0.510535991
724	0.7332336363	0.5105194401
725	0.7332336363	0.5105028097
726	0.7332336363	0.5104863508
727	0.7332336363	0.5104700654
728	0.7332336363	0.5104535508
729	0.7332336363	0.5104356405
730	0.7332336363	0.5104191395
731	0.7332336363	0.5104026764
732	0.7332336363	0.510388266
733	0.7332336363	0.5103708357
734	0.7332336363	0.5103543615
735	0.7332336363	0.510338065
736	0.7332336363	0.5103217771
737	0.7332336363	0.510305414
738	0.7332336363	0.5102890375
739	0.7332336363	0.5102728283
740	0.7332336363	0.5102566604
741	0.7332336363	0.5102403335
742	0.7332336363	0.5102243043
743	0.7332336363	0.5102080881
744	0.7332336363	0.5101920582
745	0.7332336363	0.5101759291
746	0.7332336363	0.5101598169
747	0.7332336363	0.5101416902
748	0.7332336363	0.5101255445
749	0.7332336363	0.5101114614
750	0.7332336363	0.510095369
751	0.7332336363	0.5100792922
752	0.7332336363	0.5100632991
753	0.7332336363	0.5100474023
754	0.7332336363	0.5100315458
755	0.7332336363	0.5100156138
756	0.7332336363	0.5099996699
757	0.7332336363	0.509983854
758	0.7332336363	0.5099660839
759	0.7332336363	0.5099500321
760	0.7332336363	0.5099342374
761	0.7332336363	0.509918309
762	0.7326584608	0.5099024282
763	0.7332336363	0.5098865311
764	0.7326584608	0.5098709051
765	0.7332336363	0.5098550814
766	0.7332336363	0.5098393235
767	0.7326584608	0.5098236438
768	0.7326584608	0.5098060662
769	0.7326584608	0.5097902918
770	0.7326584608	0.5097745964
771	0.7332336363	0.5097589091
772	0.7332336363	0.5097431656
773	0.7326584608	0.5097275178
774	0.7326584608	0.50971185
775	0.7326584608	0.5096962302
776	0.7326584608	0.5096806728
777	0.7326584608	0.5096651141
778	0.7326584608	0.5096486479
779	0.7332336363	0.5096330324
780	0.7332336363	0.5096175317
781	0.7326584608	0.5096020318
782	0.7332336363	0.5095866024
783	0.7326584608	0.5095710611
784	0.7326584608	0.5095556164
785	0.7326584608	0.509540137
786	0.7326584608	0.5095246762
787	0.7326584608	0.5095091816
788	0.7326584608	0.5094937152
789	0.7326584608	0.5094783361
790	0.7326584608	0.5094647486
791	0.7326584608	0.5094493272
792	0.7326584608	0.5094339556
793	0.7326584608	0.509418611
794	0.7326584608	0.5094032527
795	0.7326584608	0.5093879464
796	0.7326584608	0.5093726236
797	0.7326584608	0.5093572557
798	0.7326584608	0.5093418922
799	0.7326584608	0.5093265835
800	0.7326584608	0.5093112848
801	0.7326584608	0.5092960722
802	0.7326584608	0.5092798703
803	0.7326584608	0.5092646087
804	0.7326584608	0.5092493933
805	0.7326584608	0.5092341296
806	0.7326584608	0.5092189057
807	0.7326584608	0.5092036921
808	0.7326584608	0.5091884641
809	0.7326584608	0.5091732801
810	0.7326584608	0.5091580903
811	0.7326584608	0.509142893
812	0.7326584608	0.5091276978
813	0.7326584608	0.5091124751
814	0.7326584608	0.5090971321
815	0.7326584608	0.5090819171
816	0.7326584608	0.5090667126
817	0.7326584608	0.5090515463
818	0.7326584608	0.5090364043
819	0.7326584608	0.5090211748
820	0.7326584608	0.5090060357
821	0.7326584608	0.5089908934
822	0.7326584608	0.5089740614
823	0.7326584608	0.5089589009
824	0.7326584608	0.5089437317
825	0.7326584608	0.5089286268
826	0.7326584608	0.5089134959
827	0.7326584608	0.5088983927
828	0.7326584608	0.5088832989
829	0.7326584608	0.5088681655
830	0.7326584608	0.5088530784
831	0.7326584608	0.5088380301
832	0.7326584608	0.5088229156
833	0.7326584608	0.5088078155
834	0.7326584608	0.5087928114
835	0.7326584608	0.5087777684
836	0.7326584608	0.5087627929
837	0.7326584608	0.5087477738
838	0.7326584608	0.5087327805
839	0.7326584608	0.5087178197
840	0.7326584608	0.5087028033
841	0.7326584608	0.5086878137
842	0.7326584608	0.5086728289
843	0.7326584608	0.5086578935
844	0.7326584608	0.5086429195
845	0.7326584608	0.5086279695
846	0.7326584608	0.5086130099
847	0.7326584608	0.508598034
848	0.7326584608	0.5085830969
849	0.7326584608	0.5085681166
850	0.7326584608	0.5085532078
851	0.7326584608	0.508538287
852	0.7326584608	0.5085233799
853	0.7326584608	0.5085085067
854	0.7326584608	0.5084936571
855	0.7326584608	0.508478837
856	0.7326584608	0.5084640669
857	0.7326584608	0.5084491351
858	0.7326584608	0.5084343174
859	0.7326584608	0.5084186997
860	0.7326584608	0.5084037544
861	0.7326584608	0.508388988
862	0.7326584608	0.5083740892
863	0.7332336363	0.5082100188
864	0.7332336363	0.5081950734
865	0.7332336363	0.5081802346
866	0.7332336363	0.5081654535
867	0.7332336363	0.5081506112
868	0.7332336363	0.5081358894
869	0.7332336363	0.5081209673
870	0.7332336363	0.5081063333
871	0.7332336363	0.508091399
872	0.7332336363	0.5080764779
873	0.7332336363	0.5080617456
874	0.7332336363	0.5080471455
875	0.7332336363	0.5080322242
876	0.7332336363	0.5080175337
877	0.7332336363	0.5080026053
